Puntuaje,Tipo de Pago,Título comentario,Cuerpo comentario,Cuotas de pago,Valor del pago,Categoría producto,Peso producto (g),Largo producto (cm),Ancho producto (cm),Alto producto (cm),Ciudad cliente,Estado orden,Precio envío,ID vendedor,Secuencia de pago,Tiempo compra pedido,Fecha de cargo,Fecha de entrega prevista,Fecha estimada de entrega,Creación comentario,Lapso tiempo respuesta,Ciudad vendedor,Estado vendedor,Estado cliente,Fecha límite de envío
5,credit_card,Relogio casio entregue,"E a segunda compra q realizo neste site e todos entregue dentro do prazo mesmo com a greve dos caminhoneiros 
Parabéns a empresa 👏🏽👏🏽👏🏽",3,105.57,watches_gifts,396.0,18.0,14.0,11.0,sao paulo,delivered,6.57,4869f7a5dfa277a7dca6462dcf3b52b2,1,2018-05-20 11:04:08,2018-05-24 12:25:00,2018-06-04 20:03:52,2018-06-06 00:00:00,2018-06-05 00:00:00,2018-06-06 17:54:34,guariba,SP,SP,2018-05-23 11:15:18
5,boleto,,Nunca tive problemas em comprar na lannister e sempre fui bem atendida.,1,217.06,computers_accessories,817.0,30.0,15.0,15.0,sao paulo,delivered,17.16,e9bc59e7b60fc3063eb2290deda4cced,1,2017-05-12 13:46:05,2017-05-16 13:38:34,2017-05-23 14:37:30,2017-06-08 00:00:00,2017-05-24 00:00:00,2017-05-30 15:56:33,maringa,PR,SP,2017-05-22 03:35:38
3,credit_card,,"Recebi apenas 2 pendentes falta o restante com uma vendedora eu consegui falar e ela ja enviou os outros 4 pendentes, ja os amarelos ainda não recebi nenhum estou aguardando faltam os 5 amarelos...",2,1048.31,furniture_decor,4100.0,30.0,30.0,35.0,alto paraiso de goias,delivered,29.44,1025f0e2d44d7041d6cf58b6550e0bfa,1,2018-03-10 10:53:51,2018-03-14 17:55:24,2018-03-21 17:46:34,2018-04-04 00:00:00,2018-03-22 00:00:00,2018-03-23 00:22:21,sao paulo,SP,GO,2018-03-15 10:55:56
4,credit_card,,Rapido a entrega ,3,97.24,bed_bath_table,2300.0,25.0,25.0,25.0,tupaciguara,delivered,22.24,c33847515fa6305ce6feb1e818569f13,1,2018-06-08 20:36:28,2018-06-12 12:38:00,2018-06-20 11:56:19,2018-07-13 00:00:00,2018-06-21 00:00:00,2018-06-22 11:34:02,brusque,SC,MG,2018-06-14 20:59:24
1,credit_card,,Comprei 04 jogos de lençóis de cetim. Recebi só dois. O conjunto pérola e o Preto. Onde estão os outros???????,1,471.4,bed_bath_table,1100.0,41.0,31.0,9.0,caxias do sul,delivered,17.95,da8622b14eb17ae2831f4ac5b9dab84a,1,2017-09-14 13:18:21,2017-09-15 20:26:59,2017-09-27 19:28:47,2017-10-13 00:00:00,2017-09-28 00:00:00,2017-10-03 20:04:51,piracicaba,SP,RS,2017-09-20 13:30:22
5,voucher,,Produto de ótima qualidade e entrega rápida. Recomendo.,1,12.26,computers_accessories,200.0,25.0,15.0,5.0,planalto,delivered,16.79,fc906263ca5083d09dce42fe02247800,2,2017-09-17 12:18:26,2017-09-18 14:48:11,2017-09-28 16:47:50,2017-10-13 00:00:00,2017-09-29 00:00:00,2017-10-05 12:34:58,belo horizonte,MG,PR,2017-09-21 12:30:10
4,credit_card,,otimo chega antes do prazo ,2,160.16,computers_accessories,533.0,22.0,20.0,11.0,jaboatao dos guararapes,delivered,10.26,de722cd6dad950a92b7d4f82673f8833,1,2018-01-26 15:03:01,2018-01-26 23:25:50,2018-01-30 19:25:05,2018-02-09 00:00:00,2018-01-31 00:00:00,2018-02-05 11:50:56,recife,PE,PE,2018-02-01 15:17:47
5,boleto,,Sempre compro e recomendooo,1,2111.57,market_place,30000.0,37.0,56.0,52.0,valente,delivered,147.57,f5a590cf36251cf1162ea35bef76fe84,1,2017-04-03 14:04:19,2017-04-25 16:36:26,2017-05-05 06:06:12,2017-05-05 00:00:00,2017-05-06 00:00:00,2017-05-07 02:22:00,sao bernardo do campo,SP,BA,2017-04-11 02:35:32
5,boleto,,"Entregue no combinado, boa qualidade, recomendo.",1,83.25,construction_tools_construction,7850.0,50.0,50.0,3.0,poa,delivered,25.25,05d2173d43ea568aa0540eba70d2ca76,1,2017-11-26 10:53:19,2017-12-01 14:12:37,2017-12-07 16:28:37,2017-12-20 00:00:00,2017-12-08 00:00:00,2017-12-08 22:02:39,alfenas,MG,SP,2017-12-07 03:23:34
4,credit_card,,Material fraco,3,74.14,bed_bath_table,350.0,25.0,19.0,8.0,vera cruz,delivered,34.15,391fc6631aebcf3004804e51b40bcf1e,1,2018-01-15 20:36:27,2018-01-23 15:27:02,2018-02-05 22:33:41,2018-02-22 00:00:00,2018-02-06 00:00:00,2018-02-07 01:30:16,ibitinga,SP,RN,2018-01-24 20:50:43
1,boleto,,Não recebi e espero receber,1,233.87,perfumery,523.0,20.0,17.0,16.0,buenopolis,canceled,14.87,8444e55c1f13cd5c179851e5ca5ebd00,1,2018-07-04 16:05:56,,,2018-08-22 00:00:00,2018-08-26 00:00:00,2018-08-26 20:23:54,congonhal,MG,MG,2018-08-08 02:55:16
1,credit_card,,Não recebi o produto ainda!!! ,1,116.62,pet_shop,2200.0,50.0,40.0,20.0,armacao dos buzios,delivered,21.62,66922902710d126a0e7d26b0e3805106,1,2018-03-28 11:03:18,2018-03-29 23:41:52,2018-04-27 21:22:28,2018-04-19 00:00:00,2018-04-21 00:00:00,2018-04-21 17:29:18,belo horizonte,MG,RJ,2018-04-03 11:28:07
